Luminosity,teff_gspphot,bp_rp,phot_g_mean_mag
3.41E+07,50000,-0.35,-9.5
2.59E+06,50000,-0.35,-6.7
2.15E+06,50000,-0.35,-6.5
2.15E+06,50000,-0.35,-6.5
2.15E+06,50000,-0.35,-6.5
1.36E+06,50000,-0.35,-6
1.24E+06,50000,-0.35,-5.9
9.40E+05,50000,-0.35,-5.6

2.71E+07,47600,-0.35,-9.4
2.25E+06,47600,-0.35,-6.7
1.87E+06,47600,-0.35,-6.5
1.73E+06,47800,-0.35,-6.4
1.58E+06,47800,-0.35,-6.3
1.09E+06,47800,-0.35,-5.9
9.94E+05,47800,-0.35,-5.8
7.54E+05,47800,-0.35,-5.5

2.14E+07,45200,-0.35,-9.3
2.14E+06,45200,-0.35,-6.8
1.62E+06,45200,-0.35,-6.5
1.52E+06,45600,-0.35,-6.4
1.26E+06,45600,-0.35,-6.2
8.72E+05,45600,-0.35,-5.8
7.95E+05,45600,-0.35,-5.7
6.03E+05,45600,-0.35,-5.4

1.68E+07,42800,-0.34,-9.2
1.85E+06,42800,-0.34,-6.8
1.40E+06,42800,-0.34,-6.5
1.21E+06,43400,-0.34,-6.3
9.17E+05,43400,-0.34,-6
6.96E+05,43400,-0.34,-5.7
6.34E+05,43400,-0.34,-5.6
4.81E+05,43400,-0.34,-5.3

1.32E+07,40400,-0.33,-9.1
1.74E+06,40400,-0.33,-6.9
1.20E+06,40400,-0.33,-6.5
9.60E+05,41200,-0.34,-6.2
7.28E+05,41200,-0.34,-5.9
5.52E+05,41200,-0.34,-5.6
5.04E+05,41200,-0.34,-5.5
3.82E+05,41200,-0.34,-5.2

1.03E+07,38000,-0.33,-9
1.48E+06,38000,-0.33,-6.9
1.03E+06,38000,-0.33,-6.5
7.59E+05,39000,-0.33,-6.1
5.25E+05,39000,-0.33,-5.7
4.37E+05,39000,-0.33,-5.5
3.98E+05,39000,-0.33,-5.4
3.02E+05,39000,-0.33,-5.1

7.81E+06,35400,-0.32,-8.9
1.36E+06,35400,-0.32,-7
7.81E+05,35400,-0.32,-6.4
6.54E+05,36800,-0.32,-6.1
3.76E+05,36800,-0.32,-5.5
3.13E+05,36800,-0.32,-5.3
2.60E+05,36800,-0.32,-5.1
1.80E+05,36800,-0.32,-4.7

5.88E+06,32800,-0.31,-8.8
1.12E+06,32800,-0.31,-7
5.88E+05,32800,-0.31,-6.3
5.10E+05,34600,-0.32,-6
2.94E+05,34600,-0.32,-5.4
2.23E+05,34600,-0.32,-5.1
1.54E+05,34600,-0.32,-4.7
1.07E+05,34600,-0.32,-4.3

4.37E+06,30200,-0.3,-8.7
9.13E+05,30200,-0.3,-7
4.37E+05,30200,-0.3,-6.2
3.60E+05,32400,-0.31,-5.8
2.07E+05,32400,-0.31,-5.2
1.57E+05,32400,-0.31,-4.9
9.91E+04,32400,-0.31,-4.4
5.70E+04,32400,-0.31,-3.8

3.19E+06,27600,-0.29,-8.6
7.31E+05,27600,-0.29,-7
3.19E+05,27600,-0.29,-6.1
2.76E+05,30200,-0.3,-5.7
1.59E+05,30200,-0.3,-5.1
1.10E+05,30200,-0.3,-4.7
5.76E+04,30200,-0.3,-4
3.31E+04,30200,-0.3,-3.4

2.28E+06,25000,-0.27,-8.5
5.73E+05,25000,-0.27,-7
2.28E+05,25000,-0.27,-6
1.90E+05,28000,-0.29,-5.5
1.09E+05,28000,-0.29,-4.9
7.57E+04,28000,-0.29,-4.5
3.62E+04,28000,-0.29,-3.7
1.90E+04,28000,-0.29,-3

2.02E+06,23790,-0.26,-8.5
5.07E+05,23790,-0.26,-7
1.84E+05,23790,-0.26,-5.9
1.34E+05,26190,-0.28,-5.3
5.34E+04,26190,-0.28,-4.3
3.70E+04,26190,-0.28,-3.9
1.94E+04,26190,-0.28,-3.2
1.02E+04,26190,-0.28,-2.5

1.62E+06,22580,-0.25,-8.4
4.46E+05,22580,-0.25,-7
1.62E+05,22580,-0.25,-5.9
9.36E+04,24380,-0.27,-5.1
2.83E+04,24380,-0.27,-3.8
1.96E+04,24380,-0.27,-3.4
9.36E+03,24380,-0.27,-2.6
5.39E+03,24380,-0.27,-2

1.42E+06,21370,-0.24,-8.4
4.28E+05,21370,-0.24,-7.1
1.29E+05,21370,-0.24,-5.8
6.45E+04,22570,-0.25,-4.9
1.35E+04,22570,-0.25,-3.2
9.32E+03,22570,-0.25,-2.8
4.89E+03,22570,-0.25,-2.1
2.57E+03,22570,-0.25,-1.4

1.23E+06,20160,-0.23,-8.4
3.38E+05,20160,-0.23,-7
1.12E+05,20160,-0.23,-5.8
4.37E+04,20760,-0.24,-4.7
6.93E+03,20760,-0.24,-2.7
4.79E+03,20760,-0.24,-2.3
2.29E+03,20760,-0.24,-1.5
1.32E+03,20760,-0.24,-0.9

9.65E+05,18950,-0.22,-8.3
2.91E+05,18950,-0.22,-7
8.80E+04,18950,-0.22,-5.7
2.91E+04,18950,-0.22,-4.5
3.19E+03,18950,-0.22,-2.1
2.21E+03,18950,-0.22,-1.7
1.16E+03,18950,-0.22,-1
6.67E+02,18950,-0.22,-0.4

7.58E+05,17140,-0.2,-8.3
2.29E+05,17140,-0.2,-7
6.31E+04,17140,-0.2,-5.6
1.74E+04,17140,-0.2,-4.2
1.74E+03,17140,-0.2,-1.7
1.20E+03,17140,-0.2,-1.3
6.92E+02,17140,-0.2,-0.7
3.63E+02,17140,-0.2,0

5.33E+05,15330,-0.18,-8.2
1.93E+05,15330,-0.18,-7.1
4.43E+04,15330,-0.18,-5.5
1.11E+04,15330,-0.18,-4
1.01E+03,15330,-0.18,-1.4
6.40E+02,15330,-0.18,-0.9
4.04E+02,15330,-0.18,-0.4
1.93E+02,15330,-0.18,0.4

3.67E+05,13520,-0.15,-8.1
1.60E+05,13520,-0.15,-7.2
3.34E+04,13520,-0.15,-5.5
6.99E+03,13520,-0.15,-3.8
5.30E+02,13520,-0.15,-1
3.34E+02,13520,-0.15,-0.5
2.11E+02,13520,-0.15,0
1.01E+02,13520,-0.15,0.8

2.73E+05,11710,-0.11,-8.1
1.31E+05,11710,-0.11,-7.3
2.27E+04,11710,-0.11,-5.4
4.32E+03,11710,-0.11,-3.6
2.99E+02,11710,-0.11,-0.7
1.72E+02,11710,-0.11,-0.1
1.19E+02,11710,-0.11,0.3
5.20E+01,11710,-0.11,1.2

1.86E+05,9900,-0.06,-8
1.07E+05,9900,-0.06,-7.4
1.54E+04,9900,-0.06,-5.3
2.68E+03,9900,-0.06,-3.4
1.54E+02,9900,-0.06,-0.3
8.88E+01,9900,-0.06,0.3
6.74E+01,9900,-0.06,0.6
2.68E+01,9900,-0.06,1.6

1.98E+05,9707,-0.06,-8.1
1.14E+05,9707,-0.06,-7.5
1.50E+04,9707,-0.06,-5.3
2.35E+03,9650,-0.06,-3.3
1.24E+02,9650,-0.06,-0.1
7.11E+01,9650,-0.06,0.5
4.92E+01,9650,-0.06,0.9
1.96E+01,9650,-0.06,1.9

2.10E+05,9513,-0.05,-8.2
1.21E+05,9513,-0.05,-7.6
1.33E+04,9513,-0.05,-5.2
2.07E+03,9400,-0.05,-3.2
9.90E+01,9400,-0.05,0.1
5.70E+01,9400,-0.05,0.7
3.94E+01,9400,-0.05,1.1
1.57E+01,9400,-0.05,2.1

2.24E+05,9320,-0.05,-8.3
1.29E+05,9320,-0.05,-7.7
1.29E+04,9320,-0.05,-5.2
1.66E+03,9150,-0.04,-3
8.71E+01,9150,-0.04,0.2
4.17E+01,9150,-0.04,1
2.89E+01,9150,-0.04,1.4
1.15E+01,9150,-0.04,2.4

